Density,Porosity,Vp(sonic wave),Point load strength,UCS,Elastic Modulus,Brazilian strength
2.7,0.49,3.12,10.6,142.22,20.06,18.13
2.76,0.42,3.87,11,150.09,16.32,20.48
2.85,0.92,5.06,6.8,165.21,66.9,12.61
2.85,2,5.529,4.13,99.22,80.89,3.97
2.78,2.78,3.912,4,95.93,36.87,3.84
2.68,0.54,3.015,5.08,178.01,23.83,10.11
2.8,0.56,4.078,8.2,183.14,42.49,16.26
2.48,5.55,2.83,3.57,72.89,27.39,37.4
2.31,16.54,2.43,1.51,82.94,19.05,43.28
1.67,24.41,1.9,0.51,47.91,14.7,21.24
2.75,0.09,5.985,10.42,132.3,36.88,16.13
2.54,3.28,1.849,2.87,48.4,12.99,1.19
1.97,21.92,0.178,0.16,2.64,0.36,0.97
2.69,0.48,3.65,,105.96,42.91,12.28
2.73,0.49,3.99,,112.18,43.57,11.71
2.68,0.61,2.52,,46.36,15.05,6.06
2.7,0.48,4.23,,94.49,41.1,11.2
2.73,0.49,4.55,,83.26,43.28,9.56
2.69,0.61,3.28,,41.22,23.19,5.14
2.658,4.072,5.079,4.31,86.39,52.69,7.05
2.685,4.08,5.439,4.95,99.01,62.17,9.61
2.65,4.07,5.093,4.32,86.4,55.33,8.29
2.653,3.99,4.92,4.26,85.31,43.78,7.02
2.45,4.063,5.3,4.52,90.43,53.87,8.46
2.7,4.05,5.22,5.03,100.73,66.83,11.23
2.68,0.11,5.8,,207,93.8,
2.5,5.04,1.75,,60.6,17.1,
2.4,9.16,1.01,,32.2,12.2,
2.2,17.44,1.36,,12.4,1.9,
2.21,10.3,2.37,3.5,72.7,8.81,
2.22,16.4,1.76,2.4,48.4,6.16,
2.24,17.5,1.71,2.5,50.2,6.01,
2.36,10.3,2.32,3.96,80.7,10.73,
2.81,6.87,4.26,2.28,49.25,12.8,10.78
2.78,7.05,4.19,2.11,46.13,17.7,9.66
2.75,7.22,4.03,1.98,43.18,17.5,8.53
2.72,7.38,3.82,1.86,40.35,19.02,8.17
2.68,7.55,3.5,1.74,37.19,19.14,7.98
2.64,8.13,3.17,1.27,27.54,22.7,6.5
2.64,8.28,3.05,1.18,24.46,24.5,5.64
